directory,stage,path,latency_s,mean_r,mean_g,mean_b,mean_exg,std_exg,mean_ngrdi,mean_rbr,bright_fraction,boll_count_proxy,white_region_fraction
205_Post_Def_rgb,post_defoliation,/content/drive/MyDrive/TACC EXPERIMENTS/205_Post_Def_rgb/DJI_20250929124505_0127_D.JPG,3.9955618381500244,99.67980194091797,92.86598205566406,81.91226196289062,4.139865875244141,13.502730369567871,-0.05795678868889809,162732.265625,0.11330822762508809,9040.0,0.03433832766492018
205_Post_Def_rgb,post_defoliation,/content/drive/MyDrive/TACC EXPERIMENTS/205_Post_Def_rgb/DJI_20250929124507_0128_D.JPG,3.945699691772461,95.37203979492188,89.2337417602539,79.07173156738281,4.023766994476318,13.055747985839844,-0.05600598827004433,149573.390625,0.10405478253209548,8323.0,0.029116493550265035
205_Post_Def_rgb,post_defoliation,/content/drive/MyDrive/TACC EXPERIMENTS/205_Post_Def_rgb/DJI_20250929124509_0129_D.JPG,3.9746015071868896,101.64595031738281,94.9151382446289,84.09918975830078,4.085094928741455,13.637978553771973,-0.05633451044559479,179082.421875,0.11891425950608206,9761.0,0.03843883092808775
205_Post_Def_rgb,post_defoliation,/content/drive/MyDrive/TACC EXPERIMENTS/205_Post_Def_rgb/DJI_20250929124511_0130_D.JPG,3.9155147075653076,94.02645111083984,88.13395690917969,78.44930267333984,3.792302370071411,12.085378646850586,-0.05269213765859604,118114.5703125,0.09854809150657229,8694.0,0.029343613077182338
205_Post_Def_rgb,post_defoliation,/content/drive/MyDrive/TACC EXPERIMENTS/205_Post_Def_rgb/DJI_20250929124513_0131_D.JPG,3.899930477142334,105.93057250976562,99.58648681640625,89.18997192382812,4.052497386932373,13.502609252929688,-0.049149420112371445,86931.5703125,0.13220860334895976,9955.0,0.038240197092257254
205_Post_Def_rgb,post_defoliation,/content/drive/MyDrive/TACC EXPERIMENTS/205_Post_Def_rgb/DJI_20250929124515_0132_D.JPG,3.908133029937744,100.67559814453125,96.26887512207031,86.55899047851562,5.303040027618408,12.63395881652832,-0.03646128252148628,55145.51171875,0.12208627286515304,8426.0,0.027328884778012683
205_Post_Def_rgb,post_defoliation,/content/drive/MyDrive/TACC EXPERIMENTS/205_Post_Def_rgb/DJI_20250929124517_0133_D.JPG,3.9093682765960693,101.81856536865234,96.92478942871094,86.68939971923828,5.341766834259033,12.97321891784668,-0.03995533660054207,82574.6796875,0.12789146520819927,8503.0,0.030195502803566504
205_Post_Def_rgb,post_defoliation,/content/drive/MyDrive/TACC EXPERIMENTS/205_Post_Def_rgb/DJI_20250929124519_0134_D.JPG,3.9012107849121094,93.84233093261719,88.6885986328125,79.09518432617188,4.439628601074219,11.893695831298828,-0.04651825502514839,101746.09375,0.10681037817507737,7987.0,0.026356972148175385
205_Post_Def_rgb,post_defoliation,/content/drive/MyDrive/TACC EXPERIMENTS/205_Post_Def_rgb/DJI_20250929124521_0135_D.JPG,3.9059996604919434,101.62252044677734,94.88750457763672,84.44805908203125,3.7043845653533936,12.939916610717773,-0.057587653398513794,155003.03125,0.12232411641695008,10186.0,0.038279502558445935
205_Post_Def_rgb,post_defoliation,/content/drive/MyDrive/TACC EXPERIMENTS/205_Post_Def_rgb/DJI_20250929124523_0136_D.JPG,3.9093728065490723,94.17916107177734,88.6854248046875,78.97374725341797,4.217906951904297,12.270792961120605,-0.051114000380039215,110748.1640625,0.10407996484051843,8720.0,0.027395526932622483
205_Post_Def_rgb,post_defoliation,/content/drive/MyDrive/TACC EXPERIMENTS/205_Post_Def_rgb/DJI_20250929124525_0137_D.JPG,3.914684534072876,99.45169830322266,94.77555084228516,85.2651138305664,4.834439277648926,13.005705833435059,-0.04089723527431488,67886.2578125,0.12121772260011643,9082.0,0.03078412729417532
205_Post_Def_rgb,post_defoliation,/content/drive/MyDrive/TACC EXPERIMENTS/205_Post_Def_rgb/DJI_20250929124527_0138_D.JPG,3.892091751098633,87.50749969482422,86.4307861328125,81.65274047851562,3.7015128135681152,10.45262622833252,-0.016033057123422623,8738.1123046875,0.1056642480160554,7964.0,0.021962946579036063
205_Post_Def_rgb,post_defoliation,/content/drive/MyDrive/TACC EXPERIMENTS/205_Post_Def_rgb/DJI_20250929124529_0139_D.JPG,3.936070442199707,106.81153106689453,104.8734130859375,98.50588989257812,4.429680824279785,12.534025192260742,-0.019146963953971863,2034.3743896484375,0.14851275967460245,11161.0,0.03366357584949597
205_Post_Def_rgb,post_defoliation,/content/drive/MyDrive/TACC EXPERIMENTS/205_Post_Def_rgb/DJI_20250929124531_0140_D.JPG,3.903823137283325,104.23468780517578,102.01256561279297,96.05015563964844,3.740244150161743,12.315932273864746,-0.0215672068297863,2297.0126953125,0.14442661894475595,11730.0,0.036711640546006064
205_Post_Def_rgb,post_defoliation,/content/drive/MyDrive/TACC EXPERIMENTS/205_Post_Def_rgb/DJI_20250929124533_0141_D.JPG,3.9006171226501465,106.17475891113281,104.04058837890625,97.8892593383789,4.017340183258057,12.685856819152832,-0.02083040028810501,2164.583251953125,0.1485669064252229,11693.0,0.03637799889695744
205_Post_Def_rgb,post_defoliation,/content/drive/MyDrive/TACC EXPERIMENTS/205_Post_Def_rgb/DJI_20250929124535_0142_D.JPG,3.9073240756988525,107.6800537109375,105.75191497802734,99.00068664550781,4.822983741760254,12.774356842041016,-0.01878512278199196,1748.3150634765625,0.15212254304929987,11376.0,0.0357548085761559
205_Post_Def_rgb,post_defoliation,/content/drive/MyDrive/TACC EXPERIMENTS/205_Post_Def_rgb/DJI_20250929124537_0143_D.JPG,3.899099111557007,105.12866973876953,103.51549530029297,97.07926177978516,4.823082447052002,12.442939758300781,-0.017326628789305687,2173.252197265625,0.14905054079725466,10664.0,0.031460506863375926
205_Post_Def_rgb,post_defoliation,/content/drive/MyDrive/TACC EXPERIMENTS/205_Post_Def_rgb/DJI_20250929124539_0144_D.JPG,3.8989317417144775,106.96642303466797,105.31796264648438,98.73793029785156,4.931529998779297,12.47364330291748,-0.0172120351344347,1891.5234375,0.15261015105555045,10645.0,0.03251682331403009
205_Post_Def_rgb,post_defoliation,/content/drive/MyDrive/TACC EXPERIMENTS/205_Post_Def_rgb/DJI_20250929124541_0145_D.JPG,3.914153575897217,106.28377532958984,104.56369018554688,98.05615234375,4.787374019622803,11.961841583251953,-0.0173339806497097,1642.8155517578125,0.15260067178355854,11252.0,0.03468977885528694
205_Post_Def_rgb,post_defoliation,/content/drive/MyDrive/TACC EXPERIMENTS/205_Post_Def_rgb/DJI_20250929124543_0146_D.JPG,3.903355836868286,107.30746459960938,105.65577697753906,99.18334197998047,4.820836067199707,11.843927383422852,-0.01653364859521389,1218.15966796875,0.1545908880258602,11583.0,0.0363529602138677
205_Post_Def_rgb,post_defoliation,/content/drive/MyDrive/TACC EXPERIMENTS/205_Post_Def_rgb/DJI_20250929124545_0147_D.JPG,3.9108939170837402,105.81551361083984,104.10618591308594,97.9550552368164,4.44196891784668,11.823688507080078,-0.017412547022104263,1308.0675048828125,0.15365598285688023,11516.0,0.03539904862579281
205_Post_Def_rgb,post_defoliation,/content/drive/MyDrive/TACC EXPERIMENTS/205_Post_Def_rgb/DJI_20250929124547_0148_D.JPG,3.9106075763702393,107.76668548583984,106.14252471923828,99.40433502197266,5.11418342590332,11.783058166503906,-0.016003184020519257,1264.220703125,0.15688496759812484,11888.0,0.03848646666360266
205_Post_Def_rgb,post_defoliation,/content/drive/MyDrive/TACC EXPERIMENTS/205_Post_Def_rgb/DJI_20250929124549_0149_D.JPG,3.93921160697937,105.9996566772461,104.58180236816406,98.56248474121094,4.601534843444824,11.531624794006348,-0.01495300978422165,1144.71142578125,0.15477712220792353,11998.0,0.03742550632717468
205_Post_Def_rgb,post_defoliation,/content/drive/MyDrive/TACC EXPERIMENTS/205_Post_Def_rgb/DJI_20250929124551_0150_D.JPG,3.89664888381958,107.07292938232422,105.61836242675781,99.53165435791016,4.632420063018799,11.591865539550781,-0.014738271944224834,936.3408813476562,0.15587504213009773,12077.0,0.03899092670894996
205_Post_Def_rgb,post_defoliation,/content/drive/MyDrive/TACC EXPERIMENTS/205_Post_Def_rgb/DJI_20250929124553_0151_D.JPG,3.9076833724975586,106.06988525390625,104.03431701660156,98.10859680175781,3.8898861408233643,11.463164329528809,-0.018490519374608994,1176.940185546875,0.15263643449152803,12843.0,0.04415712994454147
205_Post_Def_rgb,post_defoliation,/content/drive/MyDrive/TACC EXPERIMENTS/205_Post_Def_rgb/DJI_20250929124555_0152_D.JPG,3.886300802230835,108.14887237548828,106.35176086425781,100.50330352783203,4.051225662231445,11.458909034729004,-0.01654483750462532,773.4475708007812,0.15495138761221927,12789.0,0.04295838503845329
205_Post_Def_rgb,post_defoliation,/content/drive/MyDrive/TACC EXPERIMENTS/205_Post_Def_rgb/DJI_20250929124557_0153_D.JPG,3.8909974098205566,105.25923156738281,103.73758697509766,97.80794525146484,4.407942771911621,11.282882690429688,-0.015288421884179115,1082.478759765625,0.14936924541164937,11543.0,0.03704700569905322
205_Post_Def_rgb,post_defoliation,/content/drive/MyDrive/TACC EXPERIMENTS/205_Post_Def_rgb/DJI_20250929124559_0154_D.JPG,3.9237558841705322,109.15357208251953,107.07935333251953,100.74449920654297,4.260707378387451,11.542146682739258,-0.01768849603831768,878.1710205078125,0.15358273393694274,12502.0,0.04275237843551797
205_Post_Def_rgb,post_defoliation,/content/drive/MyDrive/TACC EXPERIMENTS/205_Post_Def_rgb/DJI_20250929124601_0155_D.JPG,3.908142328262329,106.78323364257812,104.91492462158203,98.9833984375,4.063122272491455,11.270490646362305,-0.01690063625574112,772.63671875,0.14857858795232404,11926.0,0.03867677023010693
